"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000117069",3.75869571232526,-5.30356796870263,2.62247861234904,-2.02234936968735,0.0431402716663643,0.999555460820004
"ENSG00000081026",9.24817062402619,3.15442411066571,1.6078405662779,1.96190105961071,0.0497740044445491,0.999555460820004
"ENSG00000168243",5.89971580399691,-5.95373442491694,2.42657863099571,-2.45355099928244,0.0141453479744019,0.999555460820004
"ENSG00000116690",5.05413023876156,5.86504586400717,2.76155846865948,2.12381737724141,0.0336854173466462,0.999555460820004
"ENSG00000186205",17.4647138515566,3.50433090120991,1.70387376158043,2.05668458557602,0.0397165758513893,0.999555460820004
"ENSG00000123689",73.0213506779413,3.65173975676087,1.26860635064964,2.878544439645,0.00399514988087455,0.999555460820004
"ENSG00000162738",4.69655582661074,-5.62497467645243,2.45469276329763,-2.29151882490412,0.021933424371947,0.999555460820004
"ENSG00000184292",106.775119351334,-2.11666460880916,0.977607426742,-2.16514784044063,0.0303763652875914,0.999555460820004
"ENSG00000179456",12.8417428652492,3.68007841861805,1.63231328946664,2.25451721943679,0.024163648635542,0.999555460820004
"ENSG00000069812",6.12476752252231,-4.54787547009383,2.31134596312974,-1.96763078424472,0.0491105350352557,0.999555460820004
"ENSG00000142973",46.8351815947762,5.6142868697332,1.15397523348157,4.86517102520021,1.14357876919994e-06,0.00419235976788698
"ENSG00000116016",116.345646769626,2.6353006929301,1.00975006008316,2.60985445518375,0.00905807519109008,0.999555460820004
"ENSG00000159399",20.9005971173051,2.67476524166082,1.2919549949862,2.07032385186869,0.0384220274227026,0.999555460820004
"ENSG00000243466",17.8641751415652,-3.70320042191464,1.3156446571984,-2.81474211266166,0.00488163904164119,0.999555460820004
"ENSG00000162989",12.2792445479116,-7.01133246098308,2.16652671467475,-3.23620863453588,0.00121128815567839,0.999555460820004
"ENSG00000144583",6.14324990154749,-6.01212408863192,2.63757793209592,-2.27941097605957,0.0226426464645125,0.999555460820004
"ENSG00000138413",29.7622414666576,2.33762386215358,1.18109572915391,1.97919931843981,0.0477935696391659,0.999555460820004
"ENSG00000115540",5.86706715567173,-5.94606166552255,2.31014841395337,-2.57388730075009,0.0100563023899221,0.999555460820004
"ENSG00000168497",29.9603785790683,3.91073354699826,1.57791597603686,2.4784168526011,0.0131966865442468,0.999555460820004
"ENSG00000211592",567.429516566644,-2.50732388919147,0.81493394804433,-3.07672038354583,0.00209291526172794,0.999555460820004
"ENSG00000211598",19.5712062372023,-3.11418649037684,1.20183612558028,-2.59119061583643,0.00956444981678848,0.999555460820004
"ENSG00000241755",4.20948763150957,-5.46732158220144,2.53979693211386,-2.15266091279629,0.0313453375290667,0.999555460820004
"ENSG00000241351",16.8919316141549,-3.19388308474152,1.3730147464391,-2.32618265246226,0.0200088087107368,0.999555460820004
"ENSG00000244437",10.3266974072401,-5.23827245405792,2.03016024594261,-2.580226100145,0.00987356462753614,0.999555460820004
"ENSG00000042445",97.7704253616576,2.84430958947409,0.939485128628119,3.02751954533595,0.00246569768099557,0.999555460820004
"ENSG00000115461",1431.68691674249,3.53845616169736,0.988141034378802,3.58092219489885,0.000342383609047724,0.627589155384478
"ENSG00000079308",238.418673336598,2.18318869630049,1.07097337885961,2.03850883634959,0.0414990719646645,0.999555460820004
